_id,tên sản phẩm,ảnh sản phẩm,loại áo,form,thiết kế,màu sắc,size,chất liệu,giá tiền
652d7b308eb746ea4a0c5b59,Áo Khoác Nam Flannel Tay Dài Khóa Kéo Kẻ Caro Form Regular,Anhaonam/FlannelCaro-black.jpg,Áo Khoác,Regular ,Caro,BLACK,M,Flannel,981.000đ
652d7b308eb746ea4a0c5b5a,Áo Khoác Nam Flannel Tay Dài Khóa Kéo Kẻ Caro Form Regular,Anhaonam/FlannelCaro-black.jpg,Áo Khoác,Regular ,Caro,BLACK,L,Flannel,981.000đ
652d7b308eb746ea4a0c5b5b,Áo Khoác Nam Flannel Tay Dài Khóa Kéo Kẻ Caro Form Regular,Anhaonam/FlannelCaro-black.jpg,Áo Khoác,Regular ,Caro,BLACK,XL,Flannel,981.000đ
652d7b308eb746ea4a0c5b5c,Áo Khoác Nam Flannel Tay Dài Khóa Kéo Kẻ Caro Form Regular,Anhaonam/FlannelCaro-green.jpg,Áo Khoác,Regular ,Caro,GREEN,S,Flannel,981.000đ
652d7b308eb746ea4a0c5b5d,Áo Khoác Nam Flannel Tay Dài Khóa Kéo Kẻ Caro Form Regular,Anhaonam/FlannelCaro-green.jpg,Áo Khoác,Regular ,Caro,GREEN,M,Flannel,981.000đ
652d7b308eb746ea4a0c5b5e,Áo Khoác Nam Flannel Tay Dài Khóa Kéo Kẻ Caro Form Regular,Anhaonam/FlannelCaro-green.jpg,Áo Khoác,Regular ,Caro,GREEN,L,Flannel,981.000đ
652d7b308eb746ea4a0c5b5f,Áo Khoác Nam Flannel Tay Dài Khóa Kéo Kẻ Caro Form Regular,Anhaonam/FlannelCaro-green.jpg,Áo Khoác,Regular ,Caro,GREEN,XL,Flannel,981.000đ
652d7b308eb746ea4a0c5b60,Áo Len Polo Nam Dệt Kim Tay Ngắn Cotton Phối Túi Form Boxy,Anhaonam/Lenpolo.jpg,Áo Polo,Boxy,Trơn,TRAVERTINE,S,Cotton,569.000đ
652d7b308eb746ea4a0c5b61,Áo Len Polo Nam Dệt Kim Tay Ngắn Cotton Phối Túi Form Boxy,Anhaonam/Lenpolo.jpg,Áo Polo,Boxy,Trơn,TRAVERTINE,M,Cotton,569.000đ
652d7b308eb746ea4a0c5b62,Áo Len Polo Nam Dệt Kim Tay Ngắn Cotton Phối Túi Form Boxy,Anhaonam/Lenpolo.jpg,Áo Polo,Boxy,Trơn,TRAVERTINE,L,Cotton,569.000đ
652d7b308eb746ea4a0c5b63,Áo Khoác Chần Bông Nam Sát Nách Khóa Kéo Form Regular,Anhaonam/khoacchanbong-black.jpg,Áo Khoác Chần,Regular ,Trơn,BLACK,S,Polyester,785.000đ
652d7b308eb746ea4a0c5b64,Áo Khoác Chần Bông Nam Sát Nách Khóa Kéo Form Regular,Anhaonam/khoacchanbong-black.jpg,Áo Khoác Chần,Regular ,Trơn,BLACK,M,Polyester,785.000đ
652d7b308eb746ea4a0c5b65,Áo Khoác Chần Bông Nam Sát Nách Khóa Kéo Form Regular,Anhaonam/khoacchanbong-black.jpg,Áo Khoác Chần,Regular ,Trơn,BLACK,L,Polyester,785.000đ
652d7b308eb746ea4a0c5b66,Áo Khoác Chần Bông Nam Sát Nách Khóa Kéo Form Regular,Anhaonam/khoacchanbong-black.jpg,Áo Khoác Chần,Regular ,Trơn,BLACK,XL,Polyester,785.000đ
652d7b308eb746ea4a0c5b67,Áo Khoác Chần Bông Nam Sát Nách Khóa Kéo Form Regular,Anhaonam/khoacchanbong-dachshund.jpg,Áo Khoác Chần,Regular ,Trơn,DACHSHUND,S,Polyester,785.000đ
652d7b308eb746ea4a0c5b68,Áo Khoác Chần Bông Nam Sát Nách Khóa Kéo Form Regular,Anhaonam/khoacchanbong-dachshund.jpg,Áo Khoác Chần,Regular ,Trơn,DACHSHUND,M,Polyester,785.000đ
652d7b308eb746ea4a0c5b69,Áo Khoác Chần Bông Nam Sát Nách Khóa Kéo Form Regular,Anhaonam/khoacchanbong-dachshund.jpg,Áo Khoác Chần,Regular ,Trơn,DACHSHUND,L,Polyester,785.000đ
652d7b308eb746ea4a0c5b6a,Áo Khoác Chần Bông Nam Sát Nách Khóa Kéo Form Regular,Anhaonam/khoacchanbong-dachshund.jpg,Áo Khoác Chần,Regular ,Trơn,DACHSHUND,XL,Polyester,785.000đ
652d7b308eb746ea4a0c5b6b,Áo Khoác Chần Bông Nam Sát Nách Khóa Kéo Form Regular,Anhaonam/khoacchanbong-rainnyday.jpg,Áo Khoác Chần,Regular ,Trơn,RAINNY DAY,S,Polyester,785.000đ
