_id,tên sản phẩm,ảnh sản phẩm,loại quần,form,thiết kế,màu sắc,size,chất liệu,giá tiền
652c12b1a9af04d6dece6e23,Quần Jean Nam Ống Rộng,anhquannam/jeannamden.jpg,Quần Jean,Straight Crop,Trơn,BLACK,28,Kaki,540.000đ
652c12b1a9af04d6dece6e24,Quần Jean Nam Ống Rộng,anhquannam/jeannamden.jpg,Quần Jean,Straight Crop,Trơn,BLACK,29,Kaki,540.000đ
652c12b1a9af04d6dece6e25,Quần Jean Nam Ống Rộng,anhquannam/jeannamden.jpg,Quần Jean,Straight Crop,Trơn,BLACK,30,Kaki,540.000đ
652c12b1a9af04d6dece6e26,Quần Jean Nam Ống Rộng,anhquannam/jeannamden.jpg,Quần Jean,Straight Crop,Trơn,BLACK,31,Kaki,540.000đ
652c12b1a9af04d6dece6e27,Quần Jean Nam Ống Rộng,anhquannam/jeannamden.jpg,Quần Jean,Straight Crop,Trơn,BLACK,32,Kaki,540.000đ
652c12b1a9af04d6dece6e28,Quần Tây Nam Ống Ôm Xếp Ly Phối Chỉ,anhquannam/quantayxeply.jpg,Quần Vải,Slim,Trơn,DARK NAVY,28,Polyester,540.000đ
652c12b1a9af04d6dece6e29,Quần Tây Nam Ống Ôm Xếp Ly Phối Chỉ,anhquannam/quantayxeply.jpg,Quần Vải,Slim,Trơn,DARK NAVY,29,Polyester,540.000đ
652c12b1a9af04d6dece6e2a,Quần Tây Nam Ống Ôm Xếp Ly Phối Chỉ,anhquannam/quantayxeply.jpg,Quần Vải,Slim,Trơn,DARK NAVY,30,Polyester,540.000đ
652c12b1a9af04d6dece6e2b,Quần Tây Nam Ống Ôm Xếp Ly Phối Chỉ,anhquannam/quantayxeply.jpg,Quần Vải,Slim,Trơn,DARK NAVY,31,Polyester,540.000đ
652c12b1a9af04d6dece6e2c,Quần Tây Nam Ống Ôm Xếp Ly Phối Chỉ,anhquannam/quantayxeply.jpg,Quần Vải,Slim,Trơn,DARK NAVY,32,Polyester,540.000đ
652c12b1a9af04d6dece6e2d,Quần Tây Nam Ống Ôm Xếp Ly Phối Chỉ,anhquannam/quantayxeplynau.jpg,Quần Vải,Slim,Trơn,SILVER MINK,28,Polyester,540.000đ
652c12b1a9af04d6dece6e2e,Quần Tây Nam Ống Ôm Xếp Ly Phối Chỉ,anhquannam/quantayxeplynau.jpg,Quần Vải,Slim,Trơn,SILVER MINK,29,Polyester,540.000đ
652c12b1a9af04d6dece6e2f,Quần Tây Nam Ống Ôm Xếp Ly Phối Chỉ,anhquannam/quantayxeplynau.jpg,Quần Vải,Slim,Trơn,SILVER MINK,30,Polyester,540.000đ
652c12b1a9af04d6dece6e30,Quần Tây Nam Ống Ôm Xếp Ly Phối Chỉ,anhquannam/quantayxeplynau.jpg,Quần Vải,Slim,Trơn,SILVER MINK,31,Polyester,540.000đ
652c12b1a9af04d6dece6e31,Quần Tây Nam Ống Ôm Xếp Ly Phối Chỉ,anhquannam/quantayxeplynau.jpg,Quần Vải,Slim,Trơn,SILVER MINK,32,Polyester,540.000đ
652c12b1a9af04d6dece6e32,Quần Dài Nam Linen Ống Rộng,anhquannam/quanlinentrang.jpg,Quần Kaki,Relax,Trơn,BRIGHT WHITE,28,Linen,569.000đ
652c12b1a9af04d6dece6e33,Quần Dài Nam Linen Ống Rộng,anhquannam/quanlinentrang.jpg,Quần Kaki,Relax,Trơn,BRIGHT WHITE,29,Linen,569.000đ
652c12b1a9af04d6dece6e34,Quần Dài Nam Linen Ống Rộng,anhquannam/quanlinentrang.jpg,Quần Kaki,Relax,Trơn,BRIGHT WHITE,30,Linen,569.000đ
652c12b1a9af04d6dece6e35,Quần Dài Nam Linen Ống Rộng,anhquannam/quanlinentrang.jpg,Quần Kaki,Relax,Trơn,BRIGHT WHITE,31,Linen,569.000đ
652c12b1a9af04d6dece6e36,Quần Dài Nam Linen Ống Rộng,anhquannam/quanlinennau.jpg,Quần Kaki,Relax,Trơn,SEA TURTLE,28,Linen,569.000đ
